choice_id,label,choice_group,option_key,menu_text,sets_state,apply_effects_raw,effects_mapped,jump_to,source_file,line_number,has_dag_choice_tag,has_dag_branch_tag,stat_effects_known,confidence
choice_0011,day100_3_night_daydream,day100_3_night_daydream_menu_1,predator_focus_1_predator,"By testing their boundaries, baiting them, and beginning to use them as material. [[Predator Focus: +1 Predator]]","story.set_run_archetype_seed(""predator"")",,,day100_3_arrival,main-game/non-prod-game/game/days/day100_non_canon.rpy,308,True,False,unknown,medium
choice_0012,day101_1_morning_interview,day101_1_morning_interview_menu_1,option_1,Lower my eyes. Let her mistake fear for obedience.,"story.set_day1_interview_state(""meek"")","apply_effects(stern_susp=5, insp=5, corr=0)","{""corruption_delta"": ""0"", ""inspiration_delta"": ""5"", ""stern_acute_susp_delta"": ""5""}",,main-game/non-prod-game/game/days/day101_non_canon.rpy,169,True,False,yes,medium
choice_0013,day101_1_morning_interview,day101_1_morning_interview_menu_1,option_2,Answer cleanly. Let competence do what meekness cannot.,"story.set_day1_interview_state(""competent"")","apply_effects(stern_susp=15, insp=10, corr=0)","{""corruption_delta"": ""0"", ""inspiration_delta"": ""10"", ""stern_acute_susp_delta"": ""15""}",,main-game/non-prod-game/game/days/day101_non_canon.rpy,189,True,False,yes,medium
choice_0014,day101_1_morning_interview,day101_1_morning_interview_menu_2,option_1,"Lower my chin, allowing her fingers to adjust the fabric, matching her slow rhythm.","story.set_day1_stern_relation(""subservient"")","apply_effects(stern_susp=5, insp=0, corr=5)","{""corruption_delta"": ""5"", ""inspiration_delta"": ""0"", ""stern_acute_susp_delta"": ""5""}",,main-game/non-prod-game/game/days/day101_non_canon.rpy,224,True,False,yes,medium
choice_0015,day101_1_morning_interview,day101_1_morning_interview_menu_2,option_2,"Stand perfectly rigid, holding my breath to mask my pulse, letting her treat me like a mannequin.","story.set_day1_stern_relation(""resistant"")","apply_effects(stern_susp=10, insp=5, corr=0)","{""corruption_delta"": ""0"", ""inspiration_delta"": ""5"", ""stern_acute_susp_delta"": ""10""}",,main-game/non-prod-game/game/days/day101_non_canon.rpy,241,True,False,yes,medium
choice_0016,day101_1_morning_interview,day101_1_morning_interview_menu_2,option_3,"Meet her gaze directly through the closeness, accepting the intrusion with a steady pulse.","story.set_day1_stern_relation(""complicit"")","apply_effects(stern_susp=15, insp=10, corr=10)","{""corruption_delta"": ""10"", ""inspiration_delta"": ""10"", ""stern_acute_susp_delta"": ""15""}",,main-game/non-prod-game/game/days/day101_non_canon.rpy,259,True,False,yes,medium
choice_0017,day101_1_morning_interview,day101_1_morning_interview_menu_3,option_1,"Lower my head, speaking with flat utility: 'I will keep my head down, Ma'am.'","story.set_day1_stern_secret_bound(""fearful"")","apply_effects(stern_susp=5, insp=5, corr=0)","{""corruption_delta"": ""0"", ""inspiration_delta"": ""5"", ""stern_acute_susp_delta"": ""5""}",,main-game/non-prod-game/game/days/day101_non_canon.rpy,292,True,False,yes,medium
choice_0018,day101_1_morning_interview,day101_1_morning_interview_menu_3,option_2,"Keep my tone even, professional, and empty: 'I only see the work, Ma'am.'","story.set_day1_stern_secret_bound(""loyal"")","apply_effects(stern_susp=5, insp=10, corr=0)","{""corruption_delta"": ""0"", ""inspiration_delta"": ""10"", ""stern_acute_susp_delta"": ""5""}",,main-game/non-prod-game/game/days/day101_non_canon.rpy,304,True,False,yes,medium
choice_0019,day101_1_morning_interview,day101_1_morning_interview_menu_3,option_3,"Meet her eyes with quiet audacity: 'I know how to keep secrets, Ma'am—and those of the house.'","story.set_day1_stern_secret_bound(""exploitative"")","apply_effects(stern_susp=20, insp=15, corr=10)","{""corruption_delta"": ""10"", ""inspiration_delta"": ""15"", ""stern_acute_susp_delta"": ""20""}",day101_1_vance_throws_toy,main-game/non-prod-game/game/days/day101_non_canon.rpy,316,True,False,yes,medium
choice_0020,day101_1_vance_throws_toy,day101_1_vance_throws_toy_menu_1,subservient_suspicion,"Lower my chin, offering the bottle with a humble, trembling maid's hand. [[Subservient: +Suspicion]]","story.set_day1_vance_relation(""subservient"")","apply_effects(vance_susp=5, insp=5, corr=0)","{""corruption_delta"": ""0"", ""inspiration_delta"": ""5"", ""vance_acute_susp_delta"": ""5""}",,main-game/non-prod-game/game/days/day101_non_canon.rpy,403,True,False,yes,medium
choice_0021,day101_1_vance_throws_toy,day101_1_vance_throws_toy_menu_1,defiant_tension_inspiration_corruption,"Stand straight and meet her gaze directly, holding the bottle between us. [[Defiant: +Tension, +Inspiration, +Corruption]]","story.set_day1_vance_relation(""defiant"")","apply_effects(vance_susp=15, insp=10, corr=5)","{""corruption_delta"": ""5"", ""inspiration_delta"": ""10"", ""vance_acute_susp_delta"": ""15""}",,main-game/non-prod-game/game/days/day101_non_canon.rpy,421,True,False,yes,medium
choice_0022,day101_1_vance_throws_toy,day101_1_vance_throws_toy_menu_1,ghostly_inspiration,"Offer it on my flat palm with a cold, blank face. [[Ghostly: +Inspiration]]","story.set_day1_vance_relation(""ghostly"")","apply_effects(vance_susp=10, insp=10, corr=0)","{""corruption_delta"": ""0"", ""inspiration_delta"": ""10"", ""vance_acute_susp_delta"": ""10""}",day101_1_vance_dressing_room,main-game/non-prod-game/game/days/day101_non_canon.rpy,442,True,False,yes,medium
choice_0023,day101_1_vance_dressing_room,day101_1_vance_dressing_room_menu_1,protected_suspicion,"Handle the lace with gentle, soothing fingers, easing the pressure. [[Protected: +Suspicion]]","story.set_day1_vance_relation(""protected"")","apply_effects(vance_susp=5, insp=10, corr=5)","{""corruption_delta"": ""5"", ""inspiration_delta"": ""10"", ""vance_acute_susp_delta"": ""5""}",,main-game/non-prod-game/game/days/day101_non_canon.rpy,585,True,False,yes,medium
choice_0024,day101_1_vance_dressing_room,day101_1_vance_dressing_room_menu_1,intimate_tension_suspicion_corruption,"Touch the red pressure mark left on her collarbone by Gideon. [[Intimate: +Tension, +Suspicion, +Corruption]]","story.set_day1_vance_relation(""intimate"")","apply_effects(vance_susp=15, insp=10, corr=10)","{""corruption_delta"": ""10"", ""inspiration_delta"": ""10"", ""vance_acute_susp_delta"": ""15""}",,main-game/non-prod-game/game/days/day101_non_canon.rpy,606,True,False,yes,medium
choice_0025,day101_1_vance_dressing_room,day101_1_vance_dressing_room_menu_1,observed_inspiration,"Perform the duty with cold, clinical precision. [[Observed: +Inspiration]]","story.set_day1_vance_relation(""observed"")","apply_effects(vance_susp=5, insp=10, corr=0)","{""corruption_delta"": ""0"", ""inspiration_delta"": ""10"", ""vance_acute_susp_delta"": ""5""}",day101_1_vance_stairwell_encounter,main-game/non-prod-game/game/days/day101_non_canon.rpy,629,True,False,yes,medium
choice_0026,day101_1_vance_stairwell_encounter,day101_1_vance_stairwell_encounter_menu_1,loyal_witness_suspicion,Assure her of my absolute maid's silence. [[Loyal Witness: +Suspicion]],"story.set_day1_vance_relation(""loyal_witness"")","apply_effects(vance_susp=5, insp=5, corr=0)","{""corruption_delta"": ""0"", ""inspiration_delta"": ""5"", ""vance_acute_susp_delta"": ""5""}",,main-game/non-prod-game/game/days/day101_non_canon.rpy,708,True,False,yes,medium
choice_0027,day101_1_vance_stairwell_encounter,day101_1_vance_stairwell_encounter_menu_1,accomplice_tension_suspicion_corruption,"Feed her anxiety, turning the power dynamics. [[Accomplice: +Tension, +Suspicion, +Corruption]]","story.set_day1_vance_relation(""accomplice"")","apply_effects(vance_susp=15, insp=10, corr=10)","{""corruption_delta"": ""10"", ""inspiration_delta"": ""10"", ""vance_acute_susp_delta"": ""15""}",,main-game/non-prod-game/game/days/day101_non_canon.rpy,722,True,False,yes,medium
choice_0028,day101_1_vance_stairwell_encounter,day101_1_vance_stairwell_encounter_menu_1,silent_observer_inspiration,Detach myself and push past her. [[Silent Observer: +Inspiration]],"story.set_day1_vance_relation(""silent_observer"")","apply_effects(vance_susp=5, insp=10, corr=0)","{""corruption_delta"": ""0"", ""inspiration_delta"": ""10"", ""vance_acute_susp_delta"": ""5""}",day101_2_missy_meets_cora,main-game/non-prod-game/game/days/day101_non_canon.rpy,746,True,False,yes,medium
choice_0029,day101_2_coras_path_choice,day101_2_coras_path_choice_menu_1,predator_path_inspiration_corruption,"Let Missy's concern open the door. [[Predator path: +Inspiration, +Corruption]]","story.set_corridor_state(""predator"")","apply_effects(insp=10, corr=5)","{""corruption_delta"": ""5"", ""inspiration_delta"": ""10""}",,main-game/non-prod-game/game/days/day101_non_canon.rpy,892,True,False,yes,medium
choice_0030,day101_2_coras_path_choice,day101_2_coras_path_choice_menu_1,prey_path_inspiration_suspicion,"Look for myself. [[Prey path: +Inspiration, +Suspicion]]","story.set_corridor_state(""prey"")","apply_effects(vance_susp=35, insp=15, corr=5)","{""corruption_delta"": ""5"", ""inspiration_delta"": ""15"", ""vance_acute_susp_delta"": ""35""}",,main-game/non-prod-game/game/days/day101_non_canon.rpy,924,True,False,yes,medium
choice_0031,day101_2_coras_path_choice,day101_2_coras_path_choice_menu_1,ghost_path_inspiration_suspicion,"Pull Missy away. [[Ghost path: +Inspiration, -Suspicion]]","story.set_corridor_state(""ghost"")","apply_effects(stern_susp=-5, vance_susp=-5, missy_susp=-5, insp=10, corr=0)","{""corruption_delta"": ""0"", ""inspiration_delta"": ""10"", ""missy_acute_susp_delta"": ""-5"", ""stern_acute_susp_delta"": ""-5"", ""vance_acute_susp_delta"": ""-5""}",day101_3_taking_stock_day1,main-game/non-prod-game/game/days/day101_non_canon.rpy,958,True,False,yes,medium
choice_0032,day101_night_story_window,day101_night_story_window_menu_1,progress_manuscript,Write the first chapter of my manuscript. [[Progress manuscript]],,,,,main-game/non-prod-game/game/days/day101_non_canon.rpy,1061,True,False,unknown,medium
choice_0033,day101_night_story_window,day101_night_story_window_menu_1,option_2,Listen for Miss Stern's keys in the west corridor.,,,,,main-game/non-prod-game/game/days/day101_non_canon.rpy,1066,True,False,unknown,medium
choice_0034,day101_night_story_window,day101_night_story_window_menu_1,option_3,Find Missy before the laundry goes cold.,,,,,main-game/non-prod-game/game/days/day101_non_canon.rpy,1072,True,False,unknown,medium
choice_0035,day101_night_story_window,day101_night_story_window_menu_1,option_4,Walk the guest wing where Mr. Locke's shoe still has authority.,,,,,main-game/non-prod-game/game/days/day101_non_canon.rpy,1078,True,False,unknown,medium
choice_0036,day101_night_story_window,day101_night_story_window_menu_1,rest_and_reflect,Stay at the desk and let the ink dry. [[Rest and reflect]],,,,,main-game/non-prod-game/game/days/day101_non_canon.rpy,1084,True,False,unknown,medium
choice_0037,day101_night_story_window,day101_3_taking_stock_day1_menu_2,inspiration,Order. Safety in structure. [[Inspiration]],"story.set_day1_ledger_focus(""inspiration"")","apply_effects(insp=15, corr=0)","{""corruption_delta"": ""0"", ""inspiration_delta"": ""15""}",,main-game/non-prod-game/game/days/day101_non_canon.rpy,1091,True,False,yes,medium
choice_0038,day101_night_story_window,day101_3_taking_stock_day1_menu_2,corruption,Exposure. Safety in knowing the threat. [[Corruption]],"story.set_day1_ledger_focus(""corruption"")","apply_effects(insp=10, corr=0)","{""corruption_delta"": ""0"", ""inspiration_delta"": ""10""}",,main-game/non-prod-game/game/days/day101_non_canon.rpy,1107,True,False,yes,medium
choice_0039,day101_4_write_the_chapter,day101_4_write_the_chapter_menu_1,inspiration,Frame it with order and structure. I must write what is safe. [[Inspiration]],"story.set_day1_ledger_focus(""inspiration"")","apply_effects(insp=15, corr=0)","{""corruption_delta"": ""0"", ""inspiration_delta"": ""15""}",,main-game/non-prod-game/game/days/day101_non_canon.rpy,1161,True,False,yes,medium
choice_0040,day101_4_write_the_chapter,day101_4_write_the_chapter_menu_1,corruption,Frame it with exposure and appetite. I must write the truth. [[Corruption]],"story.set_day1_ledger_focus(""corruption"")","apply_effects(insp=-10, corr=0)","{""corruption_delta"": ""0"", ""inspiration_delta"": ""-10""}",,main-game/non-prod-game/game/days/day101_non_canon.rpy,1171,True,False,yes,medium
choice_0041,day102_2_day2_chore_time,day102_2_day2_chore_time_menu_1,inspiration,"Work fast. Catalogue the room, the people, the risk. [[Inspiration]]",,,,day102_2_day2_insp_choice,main-game/non-prod-game/game/days/day102_non_canon.rpy,309,True,False,unknown,medium
choice_0042,day102_2_day2_chore_time,day102_2_day2_chore_time_menu_1,corruption,Linger near the danger. Let the secret sharpen itself. [[Corruption]],,,,day102_2_day2_corr_choice,main-game/non-prod-game/game/days/day102_non_canon.rpy,314,True,False,unknown,medium
choice_0043,day102_afternoon_story_window,day102_afternoon_story_window_menu_1,option_1,Let Miss Stern find me near the linen closet.,,,,,main-game/non-prod-game/game/days/day102_non_canon.rpy,427,True,False,unknown,medium
choice_0044,day102_afternoon_story_window,day102_afternoon_story_window_menu_1,option_2,Steal an hour with Missy before Stern counts the sheets.,,,,,main-game/non-prod-game/game/days/day102_non_canon.rpy,433,True,False,unknown,medium
choice_0045,day102_afternoon_story_window,day102_afternoon_story_window_menu_1,option_3,Drift toward the Locke Suite and watch who performs for whom.,,,,,main-game/non-prod-game/game/days/day102_non_canon.rpy,439,True,False,unknown,medium
choice_0046,day102_afternoon_story_window,day102_afternoon_story_window_menu_1,option_4,Push the cart on and keep my hands honest.,,,,,main-game/non-prod-game/game/days/day102_non_canon.rpy,445,True,False,unknown,medium
choice_0047,day102_3_coras_choice,day102_3_coras_choice_menu_1,prey_visible_risk_cleanest_conscience,"Confess enough to control the damage. [[Prey: visible risk, cleanest conscience]]",,,,day102_3_cora_confesses,main-game/non-prod-game/game/days/day102_non_canon.rpy,598,True,False,unknown,medium
choice_0048,day102_3_coras_choice,day102_3_coras_choice_menu_1,predator_controlled_lie,Produce it as if discovering it now. [[Predator: controlled lie]],,,,day102_3_cora_pretends_to_find_it,main-game/non-prod-game/game/days/day102_non_canon.rpy,603,True,False,unknown,medium
choice_0049,day102_3_coras_choice,day102_3_coras_choice_menu_1,ghost_clean_hands_dirty_outcome,"Let Missy take the shape of the blame. [[Ghost: clean hands, dirty outcome]]",,,,day102_3_cora_frames_missy,main-game/non-prod-game/game/days/day102_non_canon.rpy,608,True,False,unknown,medium
choice_0050,day102_4_night,day102_4_night_menu_1,manuscript_progress,Write. Turn the suite into fiction before it rots. [[Manuscript progress]],,,,day102_4_cora_writes_a_chapter,main-game/non-prod-game/game/days/day102_non_canon.rpy,1061,True,False,unknown,medium
choice_0051,day102_4_night,day102_4_night_menu_1,indulgence,Do not write. Stay inside the feeling a little longer. [[Indulgence]],,,,day102_4_cora_sneaks_a_feel,main-game/non-prod-game/game/days/day102_non_canon.rpy,1066,True,False,unknown,medium
choice_0052,day103_1_servants_corridor,day103_1_servants_corridor_menu_1,inspiration,Order. Safety in structure. [[Inspiration]],,,,day103_1_corridor_insp_chain,main-game/non-prod-game/game/days/day103_non_canon.rpy,136,True,False,unknown,medium
choice_0053,day103_1_servants_corridor,day103_1_servants_corridor_menu_1,corruption,Exposure. Safety in knowing the threat. [[Corruption]],,,,day103_1_corridor_corr_chain,main-game/non-prod-game/game/days/day103_non_canon.rpy,141,True,False,unknown,medium
choice_0054,day103_1_optional_character_chain,day103_1_optional_character_chain_menu_1,option_1,Follow Stern's discipline before the guest wing wakes.,,,,,main-game/non-prod-game/game/days/day103_non_canon.rpy,244,True,False,unknown,medium
choice_0055,day103_1_optional_character_chain,day103_1_optional_character_chain_menu_1,option_2,Find Missy while the house is still bruised from yesterday.,,,,,main-game/non-prod-game/game/days/day103_non_canon.rpy,250,True,False,unknown,medium
choice_0056,day103_1_optional_character_chain,day103_1_optional_character_chain_menu_1,option_3,Watch the Locke Suite door before the tea order becomes a summons.,,,,,main-game/non-prod-game/game/days/day103_non_canon.rpy,256,True,False,unknown,medium
choice_0057,day103_1_optional_character_chain,day103_1_optional_character_chain_menu_1,option_4,Keep moving with the cart and give no one a reason.,,"apply_effects(insp=10, corr=0)","{""corruption_delta"": ""0"", ""inspiration_delta"": ""10""}",,main-game/non-prod-game/game/days/day103_non_canon.rpy,262,True,False,yes,medium
choice_0058,day103_2_suite_cora_vs_gideon,day103_2_suite_cora_vs_gideon_menu_1,inspiration,"Answer like a craftsman. Describe what is visible, not what is wanted. [[Inspiration]]",,,,day103_2_cora_vs_gideon_insp,main-game/non-prod-game/game/days/day103_non_canon.rpy,377,True,False,unknown,medium
choice_0059,day103_2_suite_cora_vs_gideon,day103_2_suite_cora_vs_gideon_menu_1,corruption,Let him see that I understand the charge in the room. [[Corruption]],,,,day103_2_cora_vs_gideon_corr,main-game/non-prod-game/game/days/day103_non_canon.rpy,382,True,False,unknown,medium
choice_0060,day103_2_suite_cora_vs_gideon,day103_2_suite_cora_vs_gideon_menu_1,suspicion_inspiration,Retreat into the maid's mask. Drop the brush. [[Suspicion + Inspiration]],,,,day103_2_cora_vs_gideon_ghost,main-game/non-prod-game/game/days/day103_non_canon.rpy,387,True,False,unknown,medium
choice_0061,day103_3_bedroom_cora_frantic_writing_event,day103_3_bedroom_cora_frantic_writing_event_menu_1,frantic_write,Write with whatever time is left. [[Frantic Write]],,,,day103_3_frantic_write,main-game/non-prod-game/game/days/day103_non_canon.rpy,676,True,False,unknown,medium
choice_0062,day103_3_bedroom_cora_frantic_writing_event,day103_3_bedroom_cora_frantic_writing_event_menu_1,prepare_mask,Prepare my uniform and mask. [[Prepare Mask]],,,,day103_3_prepare_mask,main-game/non-prod-game/game/days/day103_non_canon.rpy,681,True,False,unknown,medium
choice_0063,day103_3_bedroom_cora_frantic_writing_event,day103_3_bedroom_cora_frantic_writing_event_menu_1,indulge_words,Re-read the dangerous words. [[Indulge Words]],,,,day103_3_indulge_words,main-game/non-prod-game/game/days/day103_non_canon.rpy,686,True,False,unknown,medium
choice_0064,day103_4_room_stern_suspicion,day103_4_room_stern_suspicion_menu_1,suspicion,Be boring. Make the summons sound like ordinary service. [[-Suspicion]],"story.set_day3_stern_response(""boring"")","apply_effects(stern_susp=-10, insp=0, corr=0)","{""corruption_delta"": ""0"", ""inspiration_delta"": ""0"", ""stern_acute_susp_delta"": ""-10""}",,main-game/non-prod-game/game/days/day103_non_canon.rpy,828,True,False,yes,medium
choice_0065,day103_4_room_stern_suspicion,day103_4_room_stern_suspicion_menu_1,inspiration_mixed_risk,"Tell a partial truth. Admit he unsettles me. [[+Inspiration, mixed risk]]","story.set_day3_stern_response(""partial_truth"")","apply_effects(stern_susp=5, insp=10, corr=0)","{""corruption_delta"": ""0"", ""inspiration_delta"": ""10"", ""stern_acute_susp_delta"": ""5""}",,main-game/non-prod-game/game/days/day103_non_canon.rpy,847,True,False,yes,medium
choice_0066,day103_4_room_stern_suspicion,day103_4_room_stern_suspicion_menu_1,suspicion_if_she_sees_through_it,Play stupid. Make her underestimate me. [[+Suspicion if she sees through it]],"story.set_day3_stern_response(""stupid"")","apply_effects(stern_susp=10, insp=0, corr=5)","{""corruption_delta"": ""5"", ""inspiration_delta"": ""0"", ""stern_acute_susp_delta"": ""10""}",day103_2_suite_night_tea,main-game/non-prod-game/game/days/day103_non_canon.rpy,867,True,False,yes,medium
choice_0067,day103_2_suite_night_tea,day103_2_suite_night_tea_menu_1,defiance,Deny him access. Keep the book mine. [[Defiance]],,,,day103_2_night_defy_gideon,main-game/non-prod-game/game/days/day103_non_canon.rpy,992,True,False,unknown,medium
choice_0068,day103_2_suite_night_tea,day103_2_suite_night_tea_menu_1,bargain,Offer him a controlled fragment. Make curiosity serve me. [[Bargain]],,,,day103_2_night_bargain_gideon,main-game/non-prod-game/game/days/day103_non_canon.rpy,997,True,False,unknown,medium
choice_0069,day103_2_suite_night_tea,day103_2_suite_night_tea_menu_1,surrender,Let him frighten me. Gather every detail. [[Surrender]],,,,day103_2_night_surrender_gideon,main-game/non-prod-game/game/days/day103_non_canon.rpy,1002,True,False,unknown,medium
choice_0070,day103_3_bedroom_final_write,day103_3_bedroom_final_write_menu_1,chapter_gate,Write until the candle dies. [[Chapter gate]],story.set_day3_failed_write(True),"apply_effects(stern_susp=0, insp=5, corr=5)","{""corruption_delta"": ""5"", ""inspiration_delta"": ""5"", ""stern_acute_susp_delta"": ""0""}",,main-game/non-prod-game/game/days/day103_non_canon.rpy,1199,True,False,yes,medium
choice_0071,day103_3_bedroom_final_write,day103_3_bedroom_final_write_menu_1,safety_over_progress,Do not write. Barricade the door and wait for morning. [[Safety over progress]],"story.set_day3_night_action(""barricade"")","apply_effects(stern_susp=10, insp=0, corr=0)","{""corruption_delta"": ""0"", ""inspiration_delta"": ""0"", ""stern_acute_susp_delta"": ""10""}",day104_1_false_dawn_suite_window,main-game/non-prod-game/game/days/day103_non_canon.rpy,1257,True,False,yes,medium
choice_0072,day104_2_return_early,day104_2_return_early_menu_1,ghost_escape_high_suspicion,Hide in the cold hearth. Keep the evidence. [[Ghost escape: high suspicion]],,,,day104_2_escape_fireplace,main-game/non-prod-game/game/days/day104_non_canon.rpy,197,True,False,unknown,medium
choice_0073,day104_2_return_early,day104_2_return_early_menu_1,prey_escape_high_visibility,Stand in the room and lie cleanly. Keep the evidence. [[Prey escape: high visibility]],,,,day104_2_escape_bold_lie,main-game/non-prod-game/game/days/day104_non_canon.rpy,202,True,False,unknown,medium
choice_0074,day104_2_return_early,day104_2_return_early_menu_1,predator_escape_low_suspicion_moral_cost,"Use Missy as cover. Lose the evidence, preserve the alibi. [[Predator escape: low suspicion, moral cost]]",,,,day104_2_escape_missy_cover,main-game/non-prod-game/game/days/day104_non_canon.rpy,207,True,False,unknown,medium
choice_0075,day104_3_stern_pressure,day104_3_stern_pressure_menu_1,suspicion,Give her the boring servant answer. [[-Suspicion]],"story.set_day4_stern_response(""boring"")","apply_effects(stern_susp=-15, insp=0, corr=0)","{""corruption_delta"": ""0"", ""inspiration_delta"": ""0"", ""stern_acute_susp_delta"": ""-15""}",,main-game/non-prod-game/game/days/day104_non_canon.rpy,505,True,False,yes,medium
choice_0076,day104_3_stern_pressure,day104_3_stern_pressure_menu_1,inspiration_small_suspicion,"Let her see I am frightened, not guilty. [[+Inspiration, small suspicion]]","story.set_day4_stern_response(""frightened"")","apply_effects(stern_susp=5, insp=10, corr=0)","{""corruption_delta"": ""0"", ""inspiration_delta"": ""10"", ""stern_acute_susp_delta"": ""5""}",,main-game/non-prod-game/game/days/day104_non_canon.rpy,521,True,False,yes,medium
choice_0077,day104_3_stern_pressure,day104_3_stern_pressure_menu_1,conditional_moral_cost,Hide behind Missy if she was used. [[Conditional moral cost]],"story.set_day4_stern_response(""missy_cover"")","apply_effects(stern_susp=-10, missy_susp=10, insp=0, corr=10)","{""corruption_delta"": ""10"", ""inspiration_delta"": ""0"", ""missy_acute_susp_delta"": ""10"", ""stern_acute_susp_delta"": ""-10""}",day104_4_twilight_ledger_false_dawn,main-game/non-prod-game/game/days/day104_non_canon.rpy,537,True,False,yes,medium
choice_0078,day104_4_twilight_ledger_false_dawn,day104_4_twilight_ledger_false_dawn_menu_1,atonement,Perform visible penance to lower their guard. [[Atonement]],,,,day104_4_atonement,main-game/non-prod-game/game/days/day104_non_canon.rpy,605,True,False,unknown,medium
choice_0079,day104_4_twilight_ledger_false_dawn,day104_4_twilight_ledger_false_dawn_menu_1,triumphant_write,Risk the dark room to write the triumphant chapter. [[Triumphant Write]],,,,day104_4_twilight_ledger_false_dawn,main-game/non-prod-game/game/days/day104_non_canon.rpy,610,True,False,unknown,medium
choice_0080,day104_4_twilight_ledger_false_dawn,day104_4_twilight_ledger_false_dawn_menu_1,missy_repair,Find Missy and salvage what remains of her trust. [[Missy Repair]],,,,day104_4_missy_repair,main-game/non-prod-game/game/days/day104_non_canon.rpy,621,True,False,unknown,medium
choice_0081,day104_4_missy_repair,day104_4_missy_repair_menu_1,tender_romance_path_b_intimacy,"Give her the raw, romantic truth. Offer my vulnerability. [[Tender Romance / Path B Intimacy]]","story.set_missy_day4_repair_state(""partial_truth"")","apply_effects(missy_susp=-25, vance_susp=5, insp=15, corr=10)","{""corruption_delta"": ""10"", ""inspiration_delta"": ""15"", ""missy_acute_susp_delta"": ""-25"", ""vance_acute_susp_delta"": ""5""}",,main-game/non-prod-game/game/days/day104_non_canon.rpy,723,True,False,yes,medium
